panel,scope,n_steps,teacher_mixed_exact_action_list_match_rate,teacher_current_exact_action_list_match_rate,teacher_mixed_top1_match_rate,teacher_current_top1_match_rate,teacher_mixed_action_overlap_jaccard_mean,teacher_current_action_overlap_jaccard_mean,mixed_minus_current_top1_match,mixed_minus_current_jaccard,mixed_closer_than_current_top1_cases,current_closer_than_mixed_top1_cases,same_closeness_top1_cases
val_B30,all_steps,4566,0.9842312746386334,0.906263688129654,0.9899255365746824,0.9399912395970215,0.9925098554533509,0.9549934296977661,0.04993429697766094,0.03751642575558478,229,1,4336
val_B30,fixed_audit_states_episode1,1031,1.0,0.988360814742968,1.0,0.9951503394762367,1.0,0.9975751697381183,0.004849660523763344,0.002424830261881672,5,0,1026
val_B60,all_steps,5119,0.9566321547177183,0.8392264114084782,0.9671810900566516,0.8822035553819105,0.9731783551474897,0.9045321351826529,0.08497753467474112,0.06864621996483689,438,3,4678
val_B60,fixed_audit_states_episode1,1031,1.0,0.9922405431619786,1.0,0.9980601357904947,1.0,0.998545101842871,0.0019398642095053154,0.0014548981571289588,2,0,1029
